=================== cloudesk serverlog ===================
Sun Feb 23 20:36:16 2020 |user: [;32;1mwk[;;1m [;31;1mlogin[;;1m success.
Sun Feb 23 20:37:45 2020  -  user: [;32;1mwk[;;1m [;31;1mlogin[;;1m success.
Sun Feb 23 20:52:09 2020 | user: [;32;1mwk[;;1m [;31;1mlogin[;;1m failed.
Sun Feb 23 21:17:22 2020  -  user: [;32;1mwk[;;1m [;31;1mlogin[;;1m success.
Sun Feb 23 21:20:37 2020  -  user: [;32;1mwk[;;1m [;31;1mlogin[;;1m success.
Sun Feb 23 21:21:01 2020  -  user: [;32;1mwk[;;1m [;31;1mlogin[;;1m success.
Sun Feb 23 21:25:38 2020  -  user: [;32;1mwk[;;1m [;31;1mlogin[;;1m success.
Sun Feb 23 21:33:20 2020  -  user: [;32;1mwk[;;1m [;31;1mlogin[;;1m success.
Sun Feb 23 21:41:06 2020  -  user: wk login success.
Sun Feb 23 21:42:55 2020  -  user: wk login success.
Sun Feb 23 22:51:10 2020  -  user: wk login success.
Sun Feb 23 22:51:12 2020  -  user:  ls success.
Sun Feb 23 22:51:14 2020  -  user:  cd success.
Sun Feb 23 22:51:15 2020  -  user:  ls success.
Sun Feb 23 23:08:37 2020  -  user: wk login success.
Sun Feb 23 23:08:37 2020  -  user: wk ls success.
Sun Feb 23 23:08:39 2020  -  user: wk cd success.
Sun Feb 23 23:08:40 2020  -  user: wk ls success.
Sun Feb 23 23:08:41 2020  -  user: wk cd success.
Sun Feb 23 23:27:31 2020  -  user: wk -  login (null) .
Sun Feb 23 23:27:32 2020  -  user: wk -  ls (null) .
Sun Feb 23 23:27:36 2020  -  user: wk -  cd (null) .
Sun Feb 23 23:27:36 2020  -  user: wk -  ls (null) .
Sun Feb 23 23:27:40 2020  -  user: wk -  remove file33 .
Sun Feb 23 23:27:41 2020  -  user: wk -  ls (null) .
Sun Feb 23 23:27:47 2020  -  user: wk -  cd (null) .
Sun Feb 23 23:27:49 2020  -  user: wk -  ls (null) .
Sun Feb 23 23:28:02 2020  -  user: wk -  puts file33 .
Sun Feb 23 23:31:14 2020  -  user: wk -  login 
Sun Feb 23 23:31:16 2020  -  user: wk -  ls 
Sun Feb 23 23:31:23 2020  -  user: wk -  cd 
Sun Feb 23 23:31:23 2020  -  user: wk -  ls 
Sun Feb 23 23:36:05 2020  -  user:  -  register 
Sun Feb 23 23:36:09 2020  -  user: test -  login 
Sun Feb 23 23:36:16 2020  -  user: wk -  login 
Sun Feb 23 23:36:18 2020  -  user: wk -  ls 
Sun Feb 23 23:36:21 2020  -  user: test -  ls 
Sun Feb 23 23:36:23 2020  -  user: test -  ls 
Mon Feb 24 21:31:44 2020  -  user: wk -  login 
Mon Feb 24 21:31:44 2020  -  user: wk -  ls 
Mon Feb 24 21:31:50 2020  -  user: wk -  remove file33
Mon Feb 24 21:31:51 2020  -  user: wk -  ls 
Mon Feb 24 21:32:10 2020  -  user: wk -  login 
Mon Feb 24 21:35:31 2020  -  user: wk -  login 
Mon Feb 24 21:53:05 2020  -  user: wk -  login 
Mon Feb 24 21:53:07 2020  -  user: wk -  ls 
Mon Feb 24 21:53:12 2020  -  user: wk -  puts file33
Mon Feb 24 21:53:59 2020  -  user: wk -  login 
Mon Feb 24 21:54:01 2020  -  user: wk -  ls 
Mon Feb 24 21:54:09 2020  -  user: wk -  remove filee
Mon Feb 24 21:54:11 2020  -  user: wk -  ls 
Mon Feb 24 21:54:13 2020  -  user: wk -  cd 
Mon Feb 24 21:54:13 2020  -  user: wk -  ls 
Mon Feb 24 21:54:16 2020  -  user: wk -  cd 
Mon Feb 24 21:54:17 2020  -  user: wk -  ls 
Mon Feb 24 21:54:23 2020  -  user: wk -  puts filee
Mon Feb 24 21:55:03 2020  -  user: wk -  login 
Mon Feb 24 21:55:04 2020  -  user: wk -  ls 
Mon Feb 24 21:55:07 2020  -  user: wk -  gets file33
Mon Feb 24 21:55:26 2020  -  user: wk -  login 
Mon Feb 24 21:55:27 2020  -  user: wk -  ls 
Mon Feb 24 22:44:03 2020  -  user: wk -  login 
Mon Feb 24 22:44:03 2020  -  user: wk -  ls 
